date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:03	110067/110067	---M-Z	200	added ('OK')	text/html	etag:%221adf3-5c32759e78cdf-gzip%22	https://themesbrand.com/skote/layouts/index.html	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/index.html	(from )
12:29:04	278/278	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Aug%202021%2007:31:46%20GMT	https://themesbrand.com/robots.txt		(from )
12:29:04	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-5c292b388abd6%22	https://themesbrand.com/skote/layouts/assets/images/favicon.ico	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/favicon.ico	(from https://themesbrand.com/skote/layouts/index.html)
12:29:04	211020/211020	---M-Z	200	added ('OK')	text/css	etag:%223384c-5c32759e63517-gzip%22	https://themesbrand.com/skote/layouts/assets/css/bootstrap.min.css	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/skote/layouts/index.html)
12:29:05	385276/385276	---MCZ	200	added ('OK')	text/css	etag:%225e0fc-5c292b386a82a-gzip%22	https://themesbrand.com/skote/layouts/assets/css/icons.min.css	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/css/icons.min.css	(from https://themesbrand.com/skote/layouts/index.html)
12:29:05	82532/82532	---M-Z	200	added ('OK')	text/css	etag:%2214264-5c32759e615d6-gzip%22	https://themesbrand.com/skote/layouts/assets/css/app.min.css	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/css/app.min.css	(from https://themesbrand.com/skote/layouts/index.html)
12:29:05	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo.svg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/logo.svg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:05	9668/9668	---M--	200	added ('OK')	image/png	etag:%2225c4-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-dark.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:05	778/778	---M--	200	added ('OK')	image/svg+xml	etag:%2230a-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-light.svg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/logo-light.svg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:06	9526/9526	---M--	200	added ('OK')	image/png	etag:%222536-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/logo-light.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/logo-light.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:06	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/us.jpg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:06	99977/99977	---M--	200	added ('OK')	image/png	etag:%2218689-5c292b388ea57%22	https://themesbrand.com/skote/layouts/assets/images/megamenu-img.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/megamenu-img.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:06	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/spain.jpg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/flags/spain.jpg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:07	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/germany.jpg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/flags/germany.jpg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:07	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/italy.jpg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/flags/italy.jpg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:07	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5c292b388bb76%22	https://themesbrand.com/skote/layouts/assets/images/flags/russia.jpg	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/flags/russia.jpg	(from https://themesbrand.com/skote/layouts/index.html)
12:29:07	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/github.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/brands/github.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:08	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/bitbucket.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/brands/bitbucket.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:08	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/dribbble.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/brands/dribbble.png	(from https://themesbrand.com/skote/layouts/index.html)
12:29:08	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5c292b387c170%22	https://themesbrand.com/skote/layouts/assets/images/brands/dropbox.png	C:/Users/User/Desktop/Sayfiddin/dashboard/themesbrand.com/skote/layouts/assets/images/brands/dropbox.png	(from https://themesbrand.com/skote/layouts/index.html)
